name,count
alannah,7267
denisse,7266
elyssa,7246
sharyn,7239
emmaline,7238
aryana,7236
dorcas,7231
salina,7203
nalani,7194
tamela,7187
jenelle,7185
adina,7183
mariann,7183
analia,7173
raya,7165
nathalia,7135
twyla,7133
saniyah,7122
zariyah,7118
laureen,7117
laylah,7116
nedra,7104
maryjo,7099
natalya,7096
zaniyah,7096
kayli,7090
corinna,7076
ruthann,7071
alysa,7041
tressa,7027
nila,7019
stefani,7017
shaylee,7001
zainab,6985
shelli,6983
kassie,6978
rubye,6967
nikole,6964
carmelita,6950
aletha,6948
ayleen,6945
mimi,6933
saniya,6911
eloisa,6901
avah,6894
jaunita,6892
vienna,6851
kandice,6822
dortha,6811
ima,6799
jakayla,6799
everlee,6782
lailah,6767
carleen,6744
lavina,6723
tosha,6720
lyndsay,6716
annabell,6704
milana,6690
anabella,6687
rosita,6683
yoselin,6677
romina,6676
allyssa,6670
joleen,6649
melvina,6645
jocelynn,6638
amberly,6626
joycelyn,6605
liv,6603
eleni,6579
krysta,6568
theda,6556
leigha,6556
josette,6549
idella,6547
tawana,6545
janeen,6544
gwyneth,6542
darci,6538
ayesha,6538
britany,6536
yuliana,6534
dayanara,6533
shaniya,6513
jackeline,6503
terese,6502
taya,6501
soraya,6496
vikki,6487
kaylah,6481
mariyah,6479
teressa,6475
nanci,6474
bettina,6471
priya,6461
brigid,6443
latosha,6442
aleta,6441
hailie,6439
sharla,6436
carlotta,6427
lillianna,6417
carolynn,6404
laquita,6399
yamileth,6397
kamilah,6395
coraline,6370
golda,6365
kaela,6338
juli,6336
kandace,6315
hortense,6313
shyann,6307
maybelle,6306
mittie,6297
annelise,6293
nannette,6273
pearline,6262
katia,6245
charline,6234
naya,6225
lianna,6217
meta,6211
novella,6203
shameka,6191
bryana,6191
verla,6190
prudence,6165
evette,6157
kylah,6152
margarette,6152
riya,6133
grecia,6113
cambria,6110
violette,6102
kynlee,6085
maribeth,6080
yasmeen,6063
mylah,6056
sanaa,6055
marnie,6054
sommer,6053
jasmyn,6048
carleigh,6046
joi,6044
sariyah,6026
leatha,6023
dawna,6017
evelina,6013
nicolle,6012
marceline,6003
heidy,5984
giavanna,5978
orpha,5969
maddie,5966
jessika,5961
kathryne,5959
amia,5952
nya,5940
karolyn,5939
adella,5929
zena,5911
lisbeth,5910
lida,5910
dalila,5903
felisha,5903
annalisa,5902
xochitl,5895
abagail,5882
abigale,5870
leatrice,5864
emmeline,5864
corrina,5855
roseanna,5844
marleigh,5844
sharonda,5839
elina,5836
isela,5824
janay,5817
nala,5815
serina,5814
breann,5808
pennie,5798
lesli,5786
chyna,5777
stephenie,5771
venessa,5767
nelle,5761
ellianna,5756
anjali,5756
anneliese,5755
missy,5755
rhianna,5755
gaye,5747
teena,5746
shira,5735
alyvia,5728
caleigh,5724
lupita,5720
ashli,5718
brigette,5712
darcie,5710
venita,5708
chiara,5699
brea,5684
melani,5676
aretha,5656
carolann,5646
kalia,5640
cami,5636
aliah,5635
adelia,5628
mellissa,5625
latricia,5621
charlize,5617
fawn,5615
scarlette,5606
ilana,5604
lizabeth,5603
tatianna,5595
cathie,5586
kattie,5585
lavinia,5580
leena,5573
elodie,5572
reanna,5569
shelbie,5566
ileana,5565
shoshana,5557
jonna,5551
rosina,5551
jamya,5548
kandi,5547
syble,5541
jenni,5535
filomena,5518
cailyn,5509
montserrat,5508
hayleigh,5497
anisa,5496
judie,5491
brandee,5486
joanie,5486
shelbi,5483
cheryle,5475
oleta,5472
adelle,5465
melonie,5453
rona,5444
tayla,5432
savana,5414
calliope,5413
hulda,5407
jessenia,5406
alaysia,5397
joellen,5394
aislinn,5388
nyasia,5376
dasia,5374
sydni,5353
rosalina,5352
karie,5349
gisele,5338
aminah,5335
amayah,5326
jayna,5323
meg,5321
jazmyne,5319
tanesha,5307
stephani,5305
iyanna,5303
ernestina,5301
charisse,5296
harmoni,5292
kalie,5292
neveah,5292
heavenly,5281
maliah,5270
audriana,5266
kalli,5262
vina,5260
alianna,5257
melia,5251
jerilyn,5244
bambi,5244
norine,5242
magaly,5235
iyana,5225
jannette,5219
chanelle,5202
elvera,5200
donita,5189
louann,5187
jacalyn,5185
sydnie,5178
roxane,5173
romona,5170
candis,5164
zaylee,5161
breonna,5160
trena,5160
salena,5154
jeanetta,5149
yahaira,5149
emberly,5148
albertha,5145
charissa,5131
kathlyn,5128
khaleesi,5125
samiyah,5125
shaniqua,5117
kamiyah,5116
bayleigh,5111
nada,5097
jaci,5096
jacquelynn,5080
taniya,5080
elayna,5080
marita,5071
kinslee,5069
winnifred,5056
anastacia,5056
delanie,5053
madisen,5052
darline,5050
evonne,5047
yamilet,5037
kaylene,5033
sarita,5027
khadija,5013
sherie,5010
lanette,5005
janey,4999
albina,4998
karleigh,4985
shreya,4975
vilma,4975
isha,4974
kaelynn,4972
madaline,4970
leisa,4969
sabra,4952
amaia,4951
aubrielle,4951
keren,4946
tawnya,4943
caitlynn,4935
dalilah,4935
dori,4935
mariella,4934
lilyanna,4934
